data_name,imbalance_degree,scarcity_degree,imbalance_ratios
50words,0.8994154750673239,9.0,52.0
Adiac,0.9917180344485687,10.54054054054054,3.75
ArrowHead,0.9999999999999998,12.0,1.0
Beef,1.0000000000000002,6.0,1.0
BeetleFly,1.0,10.0,1.0
BirdChicken,1.0,10.0,1.0
CBF,0.9877812438119244,10.0,1.5
Car,0.9906068302520423,15.0,1.5454545454545454
ChlorineConcentration,0.8985730883447288,155.66666666666666,2.879120879120879
CinC_ECG_torso,0.9615367003461999,10.0,2.6
Coffee,1.0,14.0,1.0
Computers,1.0,125.0,1.0
Cricket_X,0.9966651010608685,32.5,1.56
Cricket_Y,0.99905847924476,32.5,1.2857142857142858
Cricket_Z,0.9964913604423522,32.5,1.64
DiatomSizeReduction,0.902518266288633,4.0,6.0
DistalPhalanxOutlineAgeGroup,0.8733139117920485,46.333333333333336,4.333333333333333
DistalPhalanxOutlineCorrect,0.9798687566511527,138.0,1.4
DistalPhalanxTW,0.9157830180376293,23.166666666666668,5.25
ECG200,0.8931734583778568,50.0,2.225806451612903
ECG5000,0.5631244882290816,100.0,146.0
ECGFiveDays,0.9656361333706097,11.5,1.5555555555555556
Earthquakes,0.8141163512864757,69.5,2.9714285714285715
ElectricDevices,0.9216390828829656,1275.142857142857,4.726915520628683
FISH,0.9973794426036051,25.0,1.3333333333333333
FaceAll,1.0,40.0,1.0
FaceFour,0.9515535841814057,6.0,2.6666666666666665
FacesUCR,0.9493166835716186,14.285714285714286,8.25
FordA,0.9992695868811569,660.0,1.0657276995305165
FordB,0.9999296342144585,405.0,1.0199501246882794
Gun_Point,0.9988455359952018,25.0,1.0833333333333333
Ham,0.9984816077977791,54.5,1.0961538461538463
HandOutlines,0.942233585082405,185.0,1.781954887218045
Haptics,0.9841955565088046,31.0,2.0
Herring,0.9652016987500656,32.0,1.56
InlineSkate,0.9869764101179789,14.285714285714286,2.0
InsectWingbeatSound,1.0,20.0,1.0
ItalyPowerDemand,0.9998393017810485,33.5,1.0303030303030303
LargeKitchenAppliances,0.9999999999999998,125.0,1.0
Lighting2,0.9182958340544894,30.0,2.0
Lighting7,0.9591678299728694,10.0,3.8
MALLAT,0.9649145573241282,6.875,5.5
Meat,0.9999999999999998,20.0,1.0
MedicalImages,0.7069453819606942,38.1,33.833333333333336
MiddlePhalanxOutlineAgeGroup,0.8891353848910813,51.333333333333336,3.0344827586206895
MiddlePhalanxOutlineCorrect,0.985632795876152,145.5,1.328
MiddlePhalanxTW,0.9185779758958793,25.666666666666668,4.888888888888889
MoteStrain,1.0,10.0,1.0
NonInvasiveFatalECG_Thorax1,0.9982299365000736,42.857142857142854,1.6
NonInvasiveFatalECG_Thorax2,0.9982299365000736,42.857142857142854,1.6
OSULeaf,0.9674233249756459,33.333333333333336,3.533333333333333
OliveOil,0.9248560176330758,7.5,3.25
PhalangesOutlinesCorrect,0.9330718225021392,900.0,1.8662420382165605
Phoneme,0.9007026694634617,5.487179487179487,24.0
Plane,0.9870575728925529,15.0,2.2222222222222223
ProximalPhalanxOutlineAgeGroup,0.9377370888099734,133.33333333333334,2.625
ProximalPhalanxOutlineCorrect,0.9079695675600737,300.0,2.0927835051546393
ProximalPhalanxTW,0.7967874625027088,34.166666666666664,36.0
RefrigerationDevices,0.9999999999999998,125.0,1.0
ScreenType,0.9999999999999998,125.0,1.0
ShapeletSim,1.0,10.0,1.0
ShapesAll,1.0000000000000004,10.0,1.0
SmallKitchenAppliances,0.9999999999999998,125.0,1.0
SonyAIBORobotSurface,0.8812908992306927,10.0,2.3333333333333335
SonyAIBORobotSurfaceII,0.975119064940866,13.5,1.4545454545454546
StarLightCurves,0.8742446103912127,333.3333333333333,3.7697368421052633
Strawberry,0.9399580782930517,185.0,1.803030303030303
SwedishLeaf,0.9973678862242299,33.333333333333336,1.6153846153846154
Symbols,0.951150575594489,4.166666666666667,2.6666666666666665
ToeSegmentation1,1.0,20.0,1.0
ToeSegmentation2,1.0,18.0,1.0
Trace,0.9912396959771822,25.0,1.4761904761904763
TwoLeadECG,0.9986359641585719,11.5,1.0909090909090908
Two_Patterns,0.9990393849401634,250.0,1.1434599156118144
UWaveGestureLibraryAll,0.9987539365487442,112.0,1.27
Wine,0.9980008838722995,28.5,1.1111111111111112
WordsSynonyms,0.8667278514546827,10.68,30.0
Worms,0.9097166621733626,15.4,4.125
WormsTwoClass,0.9852281360342515,38.5,1.3333333333333333
synthetic_control,0.9999999999999999,50.0,1.0
uWaveGestureLibrary_X,0.9987539365487442,112.0,1.27
uWaveGestureLibrary_Y,0.9987539365487442,112.0,1.27
uWaveGestureLibrary_Z,0.9987539365487442,112.0,1.27
wafer,0.45941303270472067,500.0,9.309278350515465
yoga,0.9945750754783549,150.0,1.1897810218978102
